name,description,lat,lng,categories
Sesimbra,Fishing village with castle and beautiful beaches,38.4444,-9.1014,"beach,castle"
University of Coimbra,Historic university and UNESCO World Heritage Site,40.2069,-8.4261,"culture,viewpoint"
Joanina Library,Baroque library with ancient books and resident bats,40.2072,-8.4264,"culture,monastery"
Conímbriga,Best-preserved Roman ruins in Portugal,40.1000,-8.4917,"culture,nature"
Buçaco Forest,Ancient forest with palace hotel and fountains,40.3833,-8.3667,"nature,castle"
Figueira da Foz,Coastal city with one of Europe's widest beaches,40.1508,-8.8618,"beach,culture"
Praia de Mira,Traditional beach town with colorful striped houses,40.4667,-8.8000,"beach,culture"
Serra da Estrela,Portugal's highest mountain range with glacial valley,40.3214,-7.6117,"nature,adventure"
Monsanto,Village built among giant boulders,40.0389,-7.1150,"culture,viewpoint"
Óbidos,Medieval walled town with white houses and ginjinha,39.3622,-9.1571,"castle,culture"
Batalha Monastery,Gothic masterpiece commemorating Portuguese independence,39.6597,-8.8247,"monastery,culture"
Alcobaça Monastery,Cistercian abbey with tombs of Pedro and Inês,39.5481,-8.9786,"monastery,culture"
Nazaré,Fishing town famous for giant waves and traditions,39.6010,-9.0714,"beach,adventure"
Tomar,Templar city with Convent of Christ,39.6036,-8.4089,"monastery,castle"
Peniche,Peninsula town known for surfing and Berlengas,39.3561,-9.3811,"beach,adventure"
Grutas de Mira de Aire,Portugal's largest cave system,39.5333,-8.7167,"nature,adventure"
Fátima,Major Catholic pilgrimage site,39.6311,-8.6747,"monastery,culture"
Leiria Castle,Historic castle overlooking the city,39.7472,-8.8078,"castle,viewpoint"
Aveiro Canals,Venice of Portugal with colorful moliceiro boats,40.6405,-8.6538,"culture,viewpoint"
Costa Nova,Beach town with iconic striped houses,40.6083,-8.7500,"beach,culture"
Praia da Barra,Beach with Portugal's tallest lighthouse,40.6333,-8.7500,"beach,viewpoint"
Clérigos Tower,Baroque tower with panoramic Porto views,41.1458,-8.6146,"viewpoint,culture"
Livraria Lello,Stunning bookshop that inspired Harry Potter,41.1469,-8.6147,"culture,gastronomy"
Ribeira District,UNESCO World Heritage riverside quarter,41.1403,-8.6130,"culture,gastronomy"
Dom Luís I Bridge,Iconic double-deck iron bridge,41.1400,-8.6097,"viewpoint,culture"
Palácio da Bolsa,Neoclassical stock exchange with Arab Room,41.1411,-8.6156,"culture,viewpoint"
São Bento Station,Railway station with famous azulejo panels,41.1456,-8.6100,"culture,viewpoint"
Foz do Douro,Porto's seaside district with fortress,41.1500,-8.6750,"beach,viewpoint"
Serralves,Contemporary art museum and gardens,41.1592,-8.6597,"culture,nature"
Port Wine Cellars,Historic cellars in Vila Nova de Gaia,41.1375,-8.6136,"gastronomy,culture"
Matosinhos Beach,Urban beach famous for seafood restaurants,41.1833,-8.6917,"beach,gastronomy"
Régua,Heart of the Douro wine region,41.1653,-7.7900,"vineyard,viewpoint"
Pinhão,Picturesque village surrounded by terraced vineyards,41.1897,-7.5450,"vineyard,viewpoint"
Quinta do Vallado,Historic wine estate with tastings,41.1750,-7.5500,"vineyard,gastronomy"
São Leonardo da Galafura Viewpoint,Stunning vista over the Douro valley,41.1583,-7.6667,"viewpoint,vineyard"
Foz Côa Archaeological Park,UNESCO site with prehistoric rock art,41.0833,-7.1333,"culture,nature"
Lamego,Historic town with monumental stairway,41.1000,-7.8083,"culture,monastery"
Bom Jesus do Monte,Baroque sanctuary with monumental stairway,41.5547,-8.3769,"monastery,viewpoint"
Guimarães Castle,Birthplace of Portugal and first king,41.4478,-8.2900,"castle,culture"
Palace of the Dukes of Braganza,Medieval palace turned museum,41.4472,-8.2906,"castle,culture"
Braga Cathedral,Oldest cathedral in Portugal,41.5500,-8.4281,"monastery,culture"
Citânia de Briteiros,Iron Age Celtic settlement ruins,41.5250,-8.3167,"culture,nature"
Ponte de Lima,Portugal's oldest town with Roman bridge,41.7667,-8.5833,"culture,viewpoint"
Peneda-Gerês National Park,Only national park with dramatic mountains,41.7500,-8.1667,"nature,adventure"
Lindoso Castle,Medieval castle with unique granaries,41.8667,-8.2000,"castle,nature"
Viana do Castelo,Elegant town with Santa Luzia sanctuary,41.6936,-8.8328,"viewpoint,culture"
Valença,Fortress town on the Spanish border,42.0333,-8.6417,"castle,culture"
Évora Cathedral,Medieval fortress-cathedral,38.5708,-7.9089,"monastery,culture"
Temple of Diana,Well-preserved Roman temple,38.5728,-7.9072,"culture,viewpoint"
Chapel of Bones,Macabre chapel decorated with human bones,38.5694,-7.9089,"monastery,culture"
Almendres Cromlech,Prehistoric stone circle older than Stonehenge,38.5550,-8.0617,"culture,nature"
Monsaraz,Hilltop medieval village with castle,38.4417,-7.3800,"castle,viewpoint"
Alqueva Lake,Europe's largest artificial lake,38.2000,-7.5333,"nature,adventure"
Marvão,Dramatic walled village on mountain peak,39.3933,-7.3767,"castle,viewpoint"
Elvas,UNESCO fortress town near Spanish border,38.8800,-7.1633,"castle,culture"
Estremoz,Marble town with medieval castle,38.8417,-7.5917,"castle,gastronomy"
Beja Castle,Medieval keep with panoramic views,38.0150,-7.8650,"castle,viewpoint"
Vicentine Coast Natural Park,Protected coastline with wild beaches and hiking trails,37.3500,-8.8333,"nature,adventure"
Sagres Fortress,Historic promontory fortress near Cape Saint Vincent,37.0000,-8.9500,"castle,viewpoint"
Portimão,Bustling port city with sardine history and river beach,37.1386,-8.5389,"culture,gastronomy"
Albufeira Old Town,Whitewashed historic center above beach coves,37.0889,-8.2500,"culture,beach"
